Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
DmsyM.Dw.RU.WYwRZ.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dobavleniedlast.kv.apk,timeout,6,1,142,50,190,175,194,52,0,0,1,0,1,0,0
dotcode.parallel.apk,0,4,0,100,50,160,112,115,52,0,1,1,0,1,0,0
doubleit.appteam.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubleit.lite.apk,0,4,0,101,51,145,113,118,52,0,1,1,0,1,0,0
dualspace.multipleaccounts.clone.apk,0,4,0,101,51,181,115,120,52,0,0,1,0,1,0,0
eDNCjj.lyYr.NAqwT.Jaig.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,1,1
eIfu.ZiYh.Qe.aJDk.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,0,0
el.pro.kesh.apk,crashed,6,1,148,50,190,175,194,52,0,0,1,0,1,0,0
er.luster.clone.apk,0,4,0,101,51,182,113,124,52,0,1,1,0,1,0,0
EsjS.Uf.smI.FY.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fB.HnbzL.aTwsjL.ik.uxyzCn.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fc.multiple.app.cloner.account.mochat.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishjoy.control.dino.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
flapcatcopters.hbook.us.apk,0,6,1,13,13,20,12,35,16,0,0,1,0,1,0,0
foster.parallelspace.dualspace.apk,0,4,0,101,51,156,116,141,52,0,1,1,0,1,0,0
free.game.video.box.fuo.apk,crashed,6,1,299,100,165,235,341,102,0,0,1,0,1,0,0
com.bestv.ott.child.gw.apk,0,4,0,32,2,153,153,189,9,0,0,1,0,1,0,0
com.bf.starcorps.ck.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.bfire.da.nui.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.bhjd.baohujidan.apk,crashed,6,1,72,8,56,84,99,9,0,0,1,0,1,0,0
com.bie.android.babycode.aiyouxi.egame.apk,crashed,4,0,40,10,122,111,162,16,0,0,1,0,1,0,0
com.bie.ios.BBQ.aiyouxi.egame.apk,crashed,4,0,40,10,122,111,162,16,0,0,1,0,1,0,0
com.biemore.android.BeachParty.aiyouxi.egame.apk,crashed,4,0,37,10,122,111,162,18,0,0,1,0,1,0,0
com.biemore.android.Carnival.aiyouxi.egame.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.biemore.android.childrenSupermarket.aiyouxi.egame.apk,crashed,4,0,40,10,122,84,133,19,0,0,1,0,1,0,0
com.biemore.android.childrenToysCity.aiyouxi.egame.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.biemore.android.DessertMiniShop.aiyouxi.egame.apk,crashed,4,0,40,10,122,111,162,20,0,0,1,0,1,0,0
com.biemore.android.FairyPrincess.aiyouxi.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,1,1,0,0,0,0
com.biemore.android.FantasyJungle.aiyouxi.egame.apk,crashed,4,0,40,10,122,111,162,16,0,0,1,0,1,0,0
com.biemore.android.HappyKindergarten.aiyouxi.egame.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.biemore.android.Hospital.aiyouxi.egame.apk,crashed,4,0,39,10,121,86,136,14,0,1,1,0,1,0,0
com.biemore.android.kidsDessert.aiyouxi.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.kidsFootBall.aiyouxi.egame.apk,crashed,4,0,36,10,122,111,162,18,0,0,1,0,1,0,0
com.biemore.android.kidsPuppy.aiyouxi.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.mathadventure.aiyouxi.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.Restaurant.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.biemore.android.ShiningFarm.aiyouxi.egame.apk,crashed,4,0,40,10,122,111,162,16,0,0,1,0,1,0,0
com.biemore.android.SweetCandyMaker.aiyouxi.egame.apk,0,6,1,101,51,194,188,222,60,0,1,1,0,1,0,0
com.liangchapu.apk,0,5,1,110,7,149,420,471,8,0,0,1,0,1,0,0
com.libii.candycarnival.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,1,1,0,0,0,0
com.libii.candydesserthouse.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.princessvacation.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,1,1,0,0,0,0
com.libii.princesswedding.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.schoolboutique.egame.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.libii.starfever.egame.apk,0,6,1,101,51,194,188,222,60,0,1,1,0,1,0,0
com.libiitech.princesssalon2.egame.apk,0,6,1,101,51,194,188,222,60,0,1,1,0,1,0,0
com.lightsky.video.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.lipalearning.lipabookband.egame.apk,crashed,4,0,40,10,122,111,162,16,0,0,1,0,1,0,0
com.lipalearning.lipaknight.game.egame.apk,0,6,1,40,10,121,85,135,19,0,1,1,0,1,0,0
com.lipalearning.lipatrain.game.egame.apk,crashed,4,0,40,10,122,111,162,20,0,0,1,0,1,0,0
com.liqiang365.saas.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.liqiang365app.musen.apk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.liqingzhizaochang.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.liudehjign.htdbgsqv.apk,0,6,1,95,50,189,115,125,52,0,1,1,0,1,0,0
com.liufei.vlocation.apk,0,4,0,101,51,187,126,132,53,0,1,1,0,1,0,0
com.liuniantech.fenshen123.apk,0,6,1,101,51,186,137,145,53,0,1,1,0,1,0,0
net.fishlabs.vwscc2.apk,crashed,6,1,72,8,19,78,90,9,0,0,1,0,1,0,0
net.kairosoft.android.daishizen_en.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net.kairosoft.android.noodle_ja.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
net.ksdt.apps_duplicate.apk,0,4,0,101,51,181,112,117,52,0,1,1,0,1,0,0
net.moeapp.avg.skski.apk,crashed,6,1,72,8,17,77,87,9,0,0,1,0,1,0,0
net.netm.appleo.greedypigs.full.apk,crashed,6,1,72,8,19,78,89,9,1,0,0,0,1,0,0
net.nimeysagga.ovwbjq.apk,crashed,6,1,72,8,16,78,92,9,0,0,1,0,1,0,0
net.orenoshiro.blockquest.apk,crashed,6,1,72,8,21,82,93,9,0,0,1,0,1,0,0
net.sg.mobile.jiyin.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
net.t7337ef9.t55b722b.rlys.apk,crashed,4,0,144,9,147,275,286,10,0,0,1,0,1,0,0
net.tanlanzhubajie.apk,crashed,6,1,72,8,16,81,96,9,1,0,0,0,1,0,0
net.wow.seven.iqiyi.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
nilgame.pintu.xmbzjh.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
NJC.wJCQ.PfzZ.apk,0,4,0,101,51,186,108,113,52,1,1,0,0,2,0,0
com.eigsio.proje.service.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ekingcar.nana.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.elinkway.tvlive2.beta.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.elkhattabayoub.gravityninja.apk,crashed,6,1,72,8,16,76,86,9,0,0,1,0,1,0,0
com.emoji.keyboard.touchpal.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.emumega.snesp.apk,crashed,6,1,101,51,10,107,112,52,1,1,1,0,2,0,0
com.Epacquire.apk,0,6,1,101,51,188,118,131,53,1,1,1,0,2,0,0
com.epic.sands.apk,0,6,1,100,50,189,115,125,52,0,1,1,0,2,1,1
com.eposstudio.blockpuzzlejewel.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.eposstudio.bridepreparationsalon.apk,0,4,0,136,8,8,236,248,10,1,1,0,0,2,1,1
com.eposstudio.fakechat.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.eposstudio.girlbikiniwallpaperhd.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.eposstudio.girlsgamespasalon.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.ErnsteGames.RollUP.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.esbook.esreader.apk,0,6,1,137,9,31,318,353,14,0,1,1,0,1,0,0
com.esbook.reader.apk,0,6,1,137,9,31,316,351,14,0,1,1,0,1,0,0
com.esduey.stargether.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.eth.EndTimeHeadliness.apk,0,6,1,101,51,192,120,148,54,1,1,1,0,2,0,0
com.evy.linegame.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.example.bendis.apk,0,4,0,127,8,151,237,249,9,0,0,1,0,1,0,0
com.example.businesshall.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.example.manyopen.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.example.rosebush.testapp.apk,0,4,0,101,51,186,117,128,52,0,0,1,0,1,0,0
com.example.weipaike.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.smonline.appbox.apk,0,4,0,101,51,186,112,117,52,0,0,1,0,1,0,0
com.sndrj.dianyoutt3.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.Sniper.GamesCityWar.gameTOP80071mod.apk,crashed,6,1,72,8,13,83,94,9,1,0,0,0,1,0,0
com.socialmedia.towcont.dual.espace.account.apk,crashed,4,0,101,51,154,116,132,52,0,0,1,0,1,0,0
com.sohsbbasgssadasfdsdgabgemvujrx.bybzfcvdsgzgf.apk,0,6,1,101,51,190,119,129,53,0,0,1,0,1,0,0
com.SomeGamesStudio.KingofSmiths.apk,0,6,1,72,8,15,78,91,9,0,0,1,0,1,0,0
com.sostation.game.wumai.apk,not_started,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.SoulGame.CubicRage.apk,timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.soulstones.lbzjqb.apk,0,4,0,50,6,26,25,66,9,0,0,1,0,1,0,0
com.soulstones.mhyt.apk,0,4,0,50,6,26,25,66,9,0,0,1,0,1,0,0
com.space.multiple.account.parallel.apk,0,4,0,101,51,181,118,124,52,0,0,1,0,1,0,0
com.sparke.virtuallocation.apk,0,4,0,101,51,182,119,128,53,0,1,1,0,1,0,0
com.splitvision.Tank.apk,crashed,6,1,72,8,15,76,86,9,0,0,1,0,1,0,0
com.sportbobao666.ppls.apk,0,6,1,160,5,24,255,279,10,0,1,1,0,1,0,0
com.sr.mzzjyd.apk,timeout,6,1,72,8,20,78,91,9,0,0,1,0,1,0,0
com.sshmobile.kingofshapes.apk,crashed,4,0,72,8,15,77,89,10,0,0,1,0,1,0,0
com.ssnrgame.matingshow.apk,crashed,6,1,72,8,17,86,103,10,0,0,1,0,1,0,0
