Name,Error,VAScore,AssetsApk,StubComponents,StubProcesses,#Permissions,#Activities,#Components,#Processes,SpawnApk,SpawnProcesses,SameCertificates,StubIntent,#Packages,UnknownIntent,CombinedIntentAnalysis
com.f1player.play.apk,0,6,1,41,41,86,78,161,47,0,0,1,0,1,0,0
com.fh.zjwzg.letu.zimon.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.foursakenmedia.blockfortresswar.apk,0,3,0,90,6,23,77,92,6,0,0,1,0,1,0,0
com.game.guaishouyoueryuan.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.gameone.bingxuegongzhushuiyimohuanzhuangbansan.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.greatfuture.cyb.apk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.tjps.game.wfys.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.tocaboca.tocaboo.apk,0,4,0,81,9,17,80,92,9,0,0,1,0,1,0,0
com.togewohome.rkoe.zy.pc.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.topitapi.rooster.de.apk,0,6,1,81,9,15,87,101,9,0,0,1,0,1,0,0
com.touchten.bounce.apk,0,6,1,81,9,27,85,97,10,1,0,0,0,1,0,0
com.towspace.dualsmart.apk,0,4,0,101,51,171,112,129,53,0,1,1,0,1,0,0
com.tp.android.bffnewbaby.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.tp.android.pfullbodyspa.egame.apk,0,6,1,125,52,194,187,221,60,0,1,1,0,1,0,0
com.tp.android.pgrowsup.egame.apk,1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
com.tp.android.twinsgrowsup.egame.apk,0,6,1,125,52,194,188,222,60,0,1,1,0,1,0,0
com.tqm.fantasydefense.mainactivity.apk,0,6,1,81,9,18,84,98,10,1,0,0,0,1,0,0
com.tqqbbvoid19.apk,0,6,1,101,51,188,117,126,53,0,0,1,0,1,0,0
com.treen.bok.apk,0,6,1,101,51,192,120,148,54,1,1,1,0,2,1,1
com.trigtech.hideone.w.apk,0,4,0,101,51,181,140,151,52,0,0,1,0,1,0,0
