APP SHA,Install,Native Run,Virtualized Run
8B500289B62DAB45B73E60E94FCDBFB52E9F1FC3DA5AB1A437A6E5A9C1F2A6C1,installed,working,working
0DF3C584001C50477F77AE4A6D73954DFB1453179EFF541EF9C77D3F9EADF3C5,installed,working,working
ADE00006F372086DEC0C0C6EA6EFFCA7C34C61290D9C25FE04FE78D5763C0B0C,installed,working,working
30A2CF0C1334B935E79123BC3E09BCC48C7B588B3609E933C4A87598B3C3508C,installed,working,working
A404B513C759BF19D92727A7E9CE5C0A3C1F47C6BB7B569BCD9EBF8A48B1040F,installed,error,error
64A734DCBE3D7980C27A4D1C6BBA09798F3A312F3430E7F77E9E5F04C703BBAB,installed,working,working
371CD88319933BED5B4D971413040C5C9E13E92038014C6D86B64D9405261D3D,installed,main activity error,working
350E8004471074594CC988B30BC10A00F4D08E825FF19E5575EB630E353F913C,installed,working,working
5762714697DBE9138D4147D94B755A2652FE855AC92DD165C91E1EF0753B9CFE,installed,error,error
B6E0204A5AA5E1E31E0874667D23E77C9B967C49C692C94D3C8EB0AC2ED242D5,installed,main activity error,error
68F54DD75F1234CE8B6BE62E3DCFA1615FD234C45C8D5D65F42F389EBECCC28F,installed,error,error
5944249EB7BF4CAB13B7767B70E71A21BD7AA66E53E80112761A55D1BD1B47A9,installed,working,working
D57B8F5A115D3EE6ABF0C9B75DAD81D65C3111C1431212610C3788587091E2A6,installed,working,working
55FE2269A4533E8F06EEDEEFDB5DE1945A91F42CFE6007A3424F8494607D9103,installed,working,working
7937445D08F866528A424B9526EDF1E583E1DA82FE1730D980940E6EC37A34F1,installed,working,working
328D55E99733A750C85D068FCC4EFA132BB4358B2F10F6BD1284D0A358C407AC,installed,working,working
D67898535AFC6D0D33EA1B164C998188DD466E7C8F6F329EC8E5A959071B1D17,installed,working,working
F6ED815FB848DACFCE241EEA6DAA445323CEF184C81DFCD8D14CCD2271225D84,installed,working,working
EE6C326B5AB0537E8F141A5CEA2EC64E077ACFB35945AB081CDC804F4655E751,installed,working,working
D5B8CD2112FE438B3F55F1B0195D188C612E5B5E0E53D30C974751C825C8432A,installed,working,working
